iter	Passed	Remaining
409	4132	5947
410	4142	5937
411	4151	5924
412	4164	5919
413	4174	5909
414	4183	5897
415	4193	5886
416	4201	5874
417	4208	5860
418	4216	5846
419	4224	5833
420	4232	5820
421	4239	5806
422	4247	5794
423	4255	5780
424	4263	5768
425	4271	5755
426	4279	5742
427	4287	5729
428	4295	5716
429	4303	5704
430	4310	5691
431	4318	5677
432	4325	5664
433	4333	5651
434	4341	5639
435	4349	5626
436	4359	5616
437	4370	5608
438	4382	5599
439	4392	5590
440	4402	5581
441	4414	5573
442	4425	5564
443	4438	5557
444	4450	5550
445	4461	5542
446	4472	5533
447	4483	5524
448	4492	5513
449	4502	5502
450	4512	5492
451	4520	5480
452	4528	5468
453	4536	5455
454	4545	5444
455	4552	5431
456	4560	5418
457	4568	5406
458	4576	5393
459	4584	5382
460	4593	5370
461	4602	5359
462	4611	5348
463	4620	5337
464	4629	5326
465	4638	5315
466	4647	5304
467	4655	5292
468	4665	5282
469	4674	5271
470	4682	5259
471	4691	5248
472	4700	5237
473	4711	5228
474	4721	5218
475	4732	5210
476	4744	5202
477	4756	5194
478	4776	5194
479	4789	5188
480	4804	5184
481	4817	5177
482	4832	5173
483	4846	5167
484	4857	5158
485	4869	5150
486	4882	5142
487	4892	5133
488	4902	5123
489	4912	5113
490	4921	5102
491	4932	5092
492	4941	5081
493	4951	5071
494	4960	5061
495	4969	5049
496	4979	5039
497	4988	5028
498	4998	5018
499	5011	5011
500	5021	5001
501	5030	4990
502	5040	4980
503	5049	4968
504	5058	4958
505	5068	4948
506	5077	4937
507	5087	4927
508	5095	4915
509	5103	4903
510	5113	4893
511	5123	4883
512	5133	4872
513	5143	4863
514	5151	4851
515	5159	4839
516	5167	4827
517	5176	4816
518	5183	4804
519	5191	4792
520	5198	4779
521	5206	4767
522	5213	4755
523	5220	4742
524	5228	4730
525	5238	4720
526	5245	4708
527	5256	4698
528	5263	4686
529	5271	4675
530	5279	4662
531	5287	4651
532	5295	4639
533	5302	4627
534	5310	4615
535	5318	4604
536	5325	4591
537	5333	4579
538	5340	4567
539	5348	4555
540	5355	4543
541	5363	4532
542	5370	4519
543	5378	4508
544	5386	4496
545	5394	4485
546	5402	4474
547	5410	4462
548	5418	4450
549	5425	4438
550	5432	4427
551	5440	4415
552	5448	4404
553	5456	4392
554	5463	4380
555	5471	4369
556	5481	4359
557	5488	4347
558	5496	4336
559	5504	4324
560	5511	4313
561	5519	4301
562	5527	4290
563	5535	4279
564	5543	4268
565	5551	4256
566	5558	4244
567	5566	4233
568	5573	4221
569	5581	4210
570	5588	4198
571	5595	4187
572	5602	4175
573	5610	4163
574	5618	4152
575	5626	4141
576	5633	4129
577	5641	4119
578	5648	4107
579	5657	4096
580	5664	4084
581	5671	4073
582	5679	4062
583	5687	4051
584	5694	4039
585	5702	4028
586	5710	4017
587	5717	4006
588	5725	3994
589	5732	3983
590	5739	3972
591	5747	3961
592	5754	3949
593	5763	3939
594	5770	3927
595	5778	3916
596	5785	3905
597	5793	3894
598	5801	3883
599	5809	3873
600	5816	3861
601	5825	3851
602	5833	3840
603	5840	3828
604	5847	3817
605	5855	3806
606	5862	3795
607	5870	3784
608	5878	3773
609	5885	3763
610	5893	3752
611	5901	3741
612	5908	3730
613	5916	3719
614	5924	3708
615	5932	3698
616	5940	3687
617	5948	3676
618	5956	3666
619	5963	3655
620	5971	3644
621	5979	3633
622	5987	3622
623	5994	3611
624	6002	3601
625	6010	3590
626	6017	3579
627	6024	3568
628	6032	3558
629	6040	3547
630	6048	3536
631	6056	3526
632	6065	3516
633	6073	3506
634	6082	3496
635	6091	3486
636	6099	3475
637	6106	3465
638	6114	3454
639	6122	3443
640	6129	3433
641	6137	3422
642	6144	3411
643	6152	3400
644	6160	3390
645	6168	3380
646	6176	3369
647	6184	3359
648	6191	3348
649	6199	3338
650	6207	3327
651	6215	3317
652	6223	3306
653	6231	3296
654	6238	3286
655	6246	3275
656	6254	3265
657	6261	3254
658	6269	3244
659	6277	3233
660	6284	3223
661	6292	3212
662	6300	3202
663	6308	3192
664	6315	3181
665	6323	3171
666	6331	3160
667	6338	3150
668	6348	3141
669	6356	3130
670	6363	3120
671	6371	3109
672	6379	3099
673	6387	3089
674	6394	3078
675	6402	3068
676	6410	3058
677	6417	3047
678	6425	3037
679	6432	3027
680	6440	3016
681	6447	3006
682	6455	2996
683	6463	2986
684	6470	2975
685	6478	2965
686	6484	2954
687	6492	2944
688	6500	2934
689	6508	2924
690	6515	2913
691	6523	2903
692	6530	2893
693	6538	2883
694	6546	2872
695	6553	2862
696	6561	2852
697	6568	2842
698	6576	2831
699	6583	2821
700	6592	2811
701	6599	2801
702	6607	2791
703	6615	2781
704	6623	2771
705	6630	2761
706	6639	2751
707	6646	2741
708	6655	2731
709	6663	2721
710	6670	2711
711	6678	2701
712	6688	2692
713	6696	2682
714	6706	2673
715	6714	2663
716	6722	2653
717	6730	2643
718	6738	2633
719	6746	2623
720	6754	2613
721	6761	2603
722	6769	2593
723	6776	2583
724	6785	2573
725	6793	2563
726	6800	2553
727	6808	2543
728	6816	2533
729	6824	2524
730	6832	2514
731	6840	2504
732	6848	2494
733	6855	2484
734	6865	2475
735	6872	2465
736	6881	2455
737	6888	2445
738	6896	2435
739	6904	2425
740	6911	2415
741	6919	2405
742	6926	2396
743	6934	2385
744	6941	2376
745	6949	2366
746	6956	2356
747	6964	2346
748	6971	2336
749	6979	2326
750	6987	2316
751	6995	2306
752	7002	2296
753	7010	2287
754	7017	2277
755	7025	2267
756	7033	2257
757	7040	2247
758	7049	2238
759	7057	2228
760	7065	2218
761	7072	2209
762	7080	2199
763	7088	2189
764	7095	2179
765	7102	2169
766	7110	2160
767	7117	2150
768	7125	2140
769	7132	2130
770	7141	2121
771	7149	2111
772	7157	2101
773	7164	2092
774	7173	2082
775	7181	2072
776	7188	2063
777	7196	2053
778	7204	2043
779	7212	2034
780	7219	2024
781	7227	2014
782	7235	2005
783	7242	1995
784	7250	1985
785	7257	1976
786	7265	1966
787	7273	1956
788	7283	1947
789	7292	1938
790	7299	1928
791	7308	1919
792	7316	1909
793	7323	1900
794	7330	1890
795	7337	1880
796	7344	1870
797	7352	1861
798	7359	1851
799	7367	1841
800	7375	1832
801	7382	1822
802	7390	1813
803	7398	1803
804	7406	1794
805	7413	1784
806	7421	1774
807	7429	1765
808	7437	1755
809	7445	1746
810	7453	1736
811	7460	1727
812	7468	1717
813	7476	1708
814	7483	1698
815	7491	1689
816	7499	1679
817	7507	1670
818	7514	1660
819	7522	1651
820	7530	1641
821	7538	1632
822	7545	1622
823	7553	1613
824	7560	1603
825	7568	1594
826	7576	1584
827	7584	1575
828	7591	1565
829	7599	1556
830	7606	1547
831	7615	1537
832	7622	1528
833	7631	1518
834	7637	1509
835	7645	1499
836	7652	1490
837	7660	1480
838	7667	1471
839	7675	1461
840	7683	1452
841	7691	1443
842	7698	1433
843	7706	1424
844	7714	1415
845	7721	1405
846	7730	1396
847	7737	1386
848	7745	1377
849	7752	1368
850	7760	1358
851	7767	1349
852	7775	1339
853	7783	1330
854	7791	1321
855	7798	1311
856	7806	1302
857	7814	1293
858	7822	1283
859	7830	1274
860	7838	1265
861	7846	1256
862	7853	1246
863	7861	1237
864	7868	1228
865	7878	1219
866	7886	1209
867	7894	1200
868	7902	1191
869	7909	1181
870	7916	1172
871	7924	1163
872	7931	1153
873	7939	1144
874	7946	1135
875	7955	1126
876	7962	1116
877	7970	1107
878	7977	1098
879	7985	1088
880	7993	1079
881	8000	1070
882	8009	1061
883	8016	1051
884	8024	1042
885	8032	1033
886	8039	1024
887	8047	1014
888	8054	1005
889	8062	996
890	8069	987
891	8076	977
892	8084	968
893	8091	959
894	8099	950
895	8108	941
896	8116	931
897	8124	922
898	8131	913
899	8139	904
900	8146	895
901	8154	885
902	8161	876
903	8168	867
904	8175	858
905	8183	849
906	8191	839
907	8199	830
908	8207	821
909	8214	812
910	8221	803
911	8229	794
912	8238	785
913	8245	775
914	8252	766
915	8260	757
916	8268	748
917	8276	739
918	8285	730
919	8292	721
920	8301	712
921	8308	702
922	8316	693
923	8323	684
924	8331	675
925	8339	666
926	8347	657
927	8354	648
928	8362	639
929	8370	630
930	8378	620
931	8385	611
932	8393	602
933	8401	593
934	8408	584
935	8415	575
936	8423	566
937	8431	557
938	8438	548
939	8446	539
940	8454	530
941	8461	520
942	8470	511
943	8479	502
944	8486	493
945	8494	484
946	8502	475
947	8510	466
948	8518	457
949	8526	448
950	8534	439
951	8541	430
952	8549	421
953	8556	412
954	8564	403
955	8572	394
956	8580	385
957	8588	376
958	8595	367
959	8603	358
960	8611	349
961	8618	340
962	8627	331
963	8636	322
964	8646	313
965	8656	304
966	8665	295
967	8675	286
968	8684	277
969	8693	268
970	8700	259
971	8708	250
972	8715	241
973	8723	232
974	8730	223
975	8737	214
976	8745	205
977	8753	196
978	8761	187
979	8768	178
980	8777	169
981	8784	161
982	8793	152
983	8801	143
984	8809	134
985	8817	125
986	8825	116
987	8833	107
988	8841	98
989	8848	89
990	8856	80
991	8864	71
992	8872	62
993	8879	53
994	8886	44
995	8894	35
996	8901	26
997	8909	17
998	8918	8
999	8925	0
